doc_id,doc_type,part_number,content,metadata
product_PS11701542,product,PS11701542,"Admiral Refrigerator Ice And Water Filter. Fixes: Not dispensing water, Ice maker not making ice, Ice maker won’t dispense ice. Brand: Whirlpool. For: Refrigerator","{""category"": ""refrigerator"", ""brand"": ""Whirlpool"", ""price"": 83.89}"
install_PS11701542,installation,PS11701542,Installation guide for Admiral Refrigerator Ice And Water Filter. Difficulty: N/A. Estimated time: N/A. Video tutorial available.,"{""category"": ""refrigerator"", ""video_url"": ""https://www.youtube.com/watch?v=rryiwFOJBYg""}"
troubleshoot_PS11701542,troubleshooting,PS11701542,"Admiral Refrigerator Ice And Water Filter is recommended for these issues: Not dispensing water, Ice maker not making ice, Ice maker won’t dispense ice, Leaking, Ice maker dispenses too little ice. This is a refrigerator part from Whirlpool.","{""category"": ""refrigerator"", ""symptoms"": [""Not dispensing water"", ""Ice maker not making ice"", ""Ice maker won\u2019t dispense ice"", ""Leaking"", ""Ice maker dispenses too little ice""]}"
product_PS11722130,product,PS11722130,"Admiral Refrigerator Water Filter. Fixes: Not dispensing water, Ice maker not making ice, Leaking. Brand: Whirlpool. For: Refrigerator","{""category"": ""refrigerator"", ""brand"": ""Whirlpool"", ""price"": 83.89}"
install_PS11722130,installation,PS11722130,Installation guide for Admiral Refrigerator Water Filter. Difficulty: N/A. Estimated time: N/A. Video tutorial available.,"{""category"": ""refrigerator"", ""video_url"": ""https://www.youtube.com/watch?v=5oA-c0VklDg""}"
troubleshoot_PS11722130,troubleshooting,PS11722130,"Admiral Refrigerator Water Filter is recommended for these issues: Not dispensing water, Ice maker not making ice, Leaking, Ice maker dispenses too little ice, Noisy, Fridge too cold, Ice maker won’t dispense ice, Touchpad does not respond. This is a refrigerator part from Whirlpool.","{""category"": ""refrigerator"", ""symptoms"": [""Not dispensing water"", ""Ice maker not making ice"", ""Leaking"", ""Ice maker dispenses too little ice"", ""Noisy"", ""Fridge too cold"", ""Ice maker won\u2019t dispense ice"", ""Touchpad does not respond""]}"
product_PS2580853,product,PS2580853,"Admiral Refrigerator Air Filter. Fixes: Fridge too warm, Fridge too cold, Ice maker not making ice. Brand: Whirlpool. For: Refrigerator","{""category"": ""refrigerator"", ""brand"": ""Whirlpool"", ""price"": 16.71}"
install_PS2580853,installation,PS2580853,Installation guide for Admiral Refrigerator Air Filter. Difficulty: N/A. Estimated time: N/A. Video tutorial available.,"{""category"": ""refrigerator"", ""video_url"": ""https://www.youtube.com/watch?v=nxIKznINpf8""}"
troubleshoot_PS2580853,troubleshooting,PS2580853,"Admiral Refrigerator Air Filter is recommended for these issues: Fridge too warm, Fridge too cold, Ice maker not making ice, Noisy, Leaking, Door Sweating, Clicking sound. This is a refrigerator part from Whirlpool.","{""category"": ""refrigerator"", ""symptoms"": [""Fridge too warm"", ""Fridge too cold"", ""Ice maker not making ice"", ""Noisy"", ""Leaking"", ""Door Sweating"", ""Clicking sound""]}"
product_PS11757236,product,PS11757236,Admiral Refrigerator Gallon Door Bin - Clear. Brand: Whirlpool. For: Refrigerator,"{""category"": ""refrigerator"", ""brand"": ""Whirlpool"", ""price"": 33.85}"
install_PS11757236,installation,PS11757236,Installation guide for Admiral Refrigerator Gallon Door Bin - Clear. Difficulty: N/A. Estimated time: N/A. Video tutorial available.,"{""category"": ""refrigerator"", ""video_url"": ""https://www.youtube.com/watch?v=d6AvOkulk_g""}"
product_PS11738120,product,PS11738120,"Admiral Refrigerator Ice Maker. Fixes: Ice maker not making ice, Ice maker won’t dispense ice, Leaking. Brand: Whirlpool. For: Refrigerator","{""category"": ""refrigerator"", ""brand"": ""Whirlpool"", ""price"": 80.2}"
install_PS11738120,installation,PS11738120,Installation guide for Admiral Refrigerator Ice Maker. Difficulty: N/A. Estimated time: N/A. Video tutorial available.,"{""category"": ""refrigerator"", ""video_url"": ""https://www.youtube.com/watch?v=d6AvOkulk_g""}"
troubleshoot_PS11738120,troubleshooting,PS11738120,"Admiral Refrigerator Ice Maker is recommended for these issues: Ice maker not making ice, Ice maker won’t dispense ice, Leaking. This is a refrigerator part from Whirlpool.","{""category"": ""refrigerator"", ""symptoms"": [""Ice maker not making ice"", ""Ice maker won\u2019t dispense ice"", ""Leaking""]}"
product_PS2121513,product,PS2121513,"Admiral Refrigerator Replacement Ice Maker. Fixes: Ice maker not making ice, Leaking, Ice maker won’t dispense ice. Brand: Whirlpool. For: Refrigerator
Ice Maker","{""category"": ""refrigerator"", ""brand"": ""Whirlpool"", ""price"": 95.89}"
install_PS2121513,installation,PS2121513,Installation guide for Admiral Refrigerator Replacement Ice Maker. Difficulty: N/A. Estimated time: N/A. Video tutorial available.,"{""category"": ""refrigerator"", ""video_url"": ""https://www.youtube.com/watch?v=_6xfzzeEWyw""}"
troubleshoot_PS2121513,troubleshooting,PS2121513,"Admiral Refrigerator Replacement Ice Maker is recommended for these issues: Ice maker not making ice, Leaking, Ice maker won’t dispense ice, Ice maker dispenses too much ice, Ice maker dispenses too little ice, Won’t start, Will Not Start, Noisy. This is a refrigerator part from Whirlpool.","{""category"": ""refrigerator"", ""symptoms"": [""Ice maker not making ice"", ""Leaking"", ""Ice maker won\u2019t dispense ice"", ""Ice maker dispenses too much ice"", ""Ice maker dispenses too little ice"", ""Won\u2019t start"", ""Will Not Start"", ""Noisy""]}"
product_PS884734,product,PS884734,"Admiral Refrigerator Light Bulb - 40w. Brand: Whirlpool. For: Refrigerator
Range
Dryer
Wall Oven
Microwave
Freezer
Microwave Oven Combo
Range Hood
Washer
Bath & Ventilation Fan
Washer Dryer Combo
Air Conditioner
Cooktop","{""category"": ""refrigerator"", ""brand"": ""Whirlpool"", ""price"": 17.75}"
install_PS884734,installation,PS884734,Installation guide for Admiral Refrigerator Light Bulb - 40w. Difficulty: N/A. Estimated time: N/A. Video tutorial available.,"{""category"": ""refrigerator"", ""video_url"": ""https://www.youtube.com/watch?v=kSohIGunxBw""}"
product_PS11722126,product,PS11722126,"Admiral Refrigerator Water Filter. Fixes: Ice maker not making ice. Brand: Whirlpool. For: Refrigerator
Freezer","{""category"": ""refrigerator"", ""brand"": ""Whirlpool"", ""price"": 83.89}"
install_PS11722126,installation,PS11722126,Installation guide for Admiral Refrigerator Water Filter. Difficulty: N/A. Estimated time: N/A. Video tutorial available.,"{""category"": ""refrigerator"", ""video_url"": ""https://www.youtube.com/watch?v=d6AvOkulk_g""}"
troubleshoot_PS11722126,troubleshooting,PS11722126,Admiral Refrigerator Water Filter is recommended for these issues: Ice maker not making ice. This is a refrigerator part from Whirlpool.,"{""category"": ""refrigerator"", ""symptoms"": [""Ice maker not making ice""]}"
