part_number,name,description,category,brand,price,in_stock,specifications,image_urls,rating,reviews_count
PS11701542,Admiral Refrigerator Ice And Water Filter,"Admiral Refrigerator Ice And Water Filter. Fixes: Not dispensing water, Ice maker not making ice, Ice maker won’t dispense ice. Brand: Whirlpool. For: Refrigerator",refrigerator,Whirlpool,83.89,True,"{""mpn"": ""EDR1RXD1"", ""replace_parts"": [""AP5982535"", ""9900"", ""9981"", ""FILTER 1"", ""FILTER1"", ""W10217316"", ""W10291030"", ""W10295370"", ""W10295370A"", ""W10569758"", ""W10569760"", ""W10569761"", ""W10735398""], ""product_url"": ""https://www.partselect.com/PS11701542-Whirlpool-EDR1RXD1-Refrigerator-Ice-and-Water-Filter.htm?SourceCode=18"", ""symptoms"": [""Not dispensing water"", ""Ice maker not making ice"", ""Ice maker won\u2019t dispense ice"", ""Leaking"", ""Ice maker dispenses too little ice""]}",[],,0
PS11722130,Admiral Refrigerator Water Filter,"Admiral Refrigerator Water Filter. Fixes: Not dispensing water, Ice maker not making ice, Leaking. Brand: Whirlpool. For: Refrigerator",refrigerator,Whirlpool,83.89,True,"{""mpn"": ""EDR4RXD1"", ""replace_parts"": [""AP5983564"", ""12589201"", ""12589203"", ""12589206"", ""12589208"", ""13040201"", ""13040214"", ""13040216"", ""13040216N"", ""13040218"", ""4396395"", ""67002671"", ""67003526"", ""67003591"", ""67003727"", ""67006464"", ""67006467"", ""67006468"", ""67006474"", ""67006475 ... Show more""], ""product_url"": ""https://www.partselect.com/PS11722130-Whirlpool-EDR4RXD1-Refrigerator-Water-Filter.htm?SourceCode=18"", ""symptoms"": [""Not dispensing water"", ""Ice maker not making ice"", ""Leaking"", ""Ice maker dispenses too little ice"", ""Noisy"", ""Fridge too cold"", ""Ice maker won\u2019t dispense ice"", ""Touchpad does not respond""]}",[],,0
PS2580853,Admiral Refrigerator Air Filter,"Admiral Refrigerator Air Filter. Fixes: Fridge too warm, Fridge too cold, Ice maker not making ice. Brand: Whirlpool. For: Refrigerator",refrigerator,Whirlpool,16.71,True,"{""mpn"": ""W10311524"", ""replace_parts"": [""AP4538127"", ""2319308"", ""AIR 1"", ""AIR1"", ""W10315189"", ""W10335147""], ""product_url"": ""https://www.partselect.com/PS2580853-Whirlpool-W10311524-Refrigerator-Air-Filter.htm?SourceCode=18"", ""symptoms"": [""Fridge too warm"", ""Fridge too cold"", ""Ice maker not making ice"", ""Noisy"", ""Leaking"", ""Door Sweating"", ""Clicking sound""]}",[],,0
PS11757236,Admiral Refrigerator Gallon Door Bin - Clear,Admiral Refrigerator Gallon Door Bin - Clear. Brand: Whirlpool. For: Refrigerator,refrigerator,Whirlpool,33.85,True,"{""mpn"": ""WPW10710203"", ""replace_parts"": [""AP6023888"", ""W10451871"", ""W10463668"", ""W10710203"", ""WPW10710203VP""], ""product_url"": ""https://www.partselect.com/PS11757236-Whirlpool-WPW10710203-Gallon-Door-Bin-Clear.htm?SourceCode=18"", ""symptoms"": []}",[],,0
PS11738120,Admiral Refrigerator Ice Maker,"Admiral Refrigerator Ice Maker. Fixes: Ice maker not making ice, Ice maker won’t dispense ice, Leaking. Brand: Whirlpool. For: Refrigerator",refrigerator,Whirlpool,80.2,True,"{""mpn"": ""W10873791"", ""replace_parts"": [""AP6026347"", ""W10760070"", ""W10798411"", ""W10847507"", ""W10873791VP"", ""W11130444"", ""W11646278""], ""product_url"": ""https://www.partselect.com/PS11738120-Whirlpool-W10873791-Refrigerator-Ice-Maker.htm?SourceCode=18"", ""symptoms"": [""Ice maker not making ice"", ""Ice maker won\u2019t dispense ice"", ""Leaking""]}",[],,0
PS2121513,Admiral Refrigerator Replacement Ice Maker,"Admiral Refrigerator Replacement Ice Maker. Fixes: Ice maker not making ice, Leaking, Ice maker won’t dispense ice. Brand: Whirlpool. For: Refrigerator
Ice Maker",refrigerator,Whirlpool,95.89,True,"{""mpn"": ""D7824706Q"", ""replace_parts"": [""AP4135008"", ""915772"", ""D7824706Q"", ""0056504"", ""0056599"", ""0056606"", ""0312578"", ""0312738"", ""0312739"", ""0312740"", ""10549201"", ""10563707"", ""10563708"", ""61005508"", ""61005508A"", ""67001263"", ""68111-1"", ""68972-1"", ""8170937"", ""95091-1 ... Show more""], ""product_url"": ""https://www.partselect.com/PS2121513-Whirlpool-D7824706Q-Replacement-Ice-Maker.htm?SourceCode=18"", ""symptoms"": [""Ice maker not making ice"", ""Leaking"", ""Ice maker won\u2019t dispense ice"", ""Ice maker dispenses too much ice"", ""Ice maker dispenses too little ice"", ""Won\u2019t start"", ""Will Not Start"", ""Noisy""]}",[],,0
PS884734,Admiral Refrigerator Light Bulb - 40w,"Admiral Refrigerator Light Bulb - 40w. Brand: Whirlpool. For: Refrigerator
Range
Dryer
Wall Oven
Microwave
Freezer
Microwave Oven Combo
Range Hood
Washer
Bath & Ventilation Fan
Washer Dryer Combo
Air Conditioner
Cooktop",refrigerator,Whirlpool,17.75,True,"{""mpn"": ""8009"", ""replace_parts"": [""AP3607217"", ""1958"", ""8009"", ""0020478"", ""0020571"", ""0047146"", ""0053950"", ""0056713"", ""0057030"", ""0057035"", ""0088673"", ""0089290"", ""040672-02"", ""05600070"", ""0B00300199"", ""0B00300299"", ""0B00300399"", ""0L01500199"", ""10664502"", ""10664503 ... Show more""], ""product_url"": ""https://www.partselect.com/PS884734-Whirlpool-8009-Light-Bulb-40W.htm?SourceCode=18"", ""symptoms"": []}",[],,0
PS11722126,Admiral Refrigerator Water Filter,"Admiral Refrigerator Water Filter. Fixes: Ice maker not making ice. Brand: Whirlpool. For: Refrigerator
Freezer",refrigerator,Whirlpool,83.89,True,"{""mpn"": ""EDR2RXD1"", ""replace_parts"": [""AP5983562"", ""FILTER 2"", ""FILTER2"", ""W10238154"", ""W10413645"", ""W10413645A"", ""W10609378"", ""W10680605""], ""product_url"": ""https://www.partselect.com/PS11722126-Whirlpool-EDR2RXD1-Water-Filter.htm?SourceCode=18"", ""symptoms"": [""Ice maker not making ice""]}",[],,0
PS11731608,Admiral Refrigerator Meat Drawer Shelf,Admiral Refrigerator Meat Drawer Shelf. Brand: Whirlpool. For: Refrigerator,refrigerator,Whirlpool,47.06,True,"{""mpn"": ""W10861519"", ""replace_parts"": [""AP5999492"", ""W10628698""], ""product_url"": ""https://www.partselect.com/PS11731608-Whirlpool-W10861519-Meat-Drawer-Shelf.htm?SourceCode=18"", ""symptoms"": []}",[],,0
PS12728638,Admiral Refrigerator Door Switch,"Admiral Refrigerator Door Switch. Fixes: Light not working. Brand: Whirlpool. For: Refrigerator
Freezer
Ice Maker",refrigerator,Whirlpool,29.29,True,"{""mpn"": ""W11384469"", ""replace_parts"": [""AP6893312"", ""046789-01"", ""1021"", ""1107734"", ""1108055"", ""1108112"", ""1118894"", ""1118895"", ""12466102"", ""14001066"", ""14200201"", ""14205646"", ""14210229"", ""14214567"", ""1547075"", ""1549695"", ""2-32164-001"", ""2154668"", ""2321286"", ""4312314 ... Show more""], ""product_url"": ""https://www.partselect.com/PS12728638-Whirlpool-W11384469-Refrigerator-Door-Switch.htm?SourceCode=18"", ""symptoms"": [""Light not working""]}",[],,0
